 	172800 	NS 	ns-832.awsdns-40.net.
dot-jrnl-na. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-oc. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-ru. 	300 	A 	84.201.153.45
dot-jrnl-sa. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
evt-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
evt. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
exc-jrnl-af. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-as. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-ea. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-ee. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-eu. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
