dot-jrnl-af.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-as.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-ea.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-ee.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-eu.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-jp.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-la.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-me.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-na.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-oc.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl-ru.vidaahub.com. 	300 	A 	84.201.153.45
dot-jrnl-sa.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
dot-jrnl.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
evt-af.vidaahub.com. 	300 	CNAME 	google.com
evt-as.vidaahub.com. 	300 	CNAME 	google.com
evt-ea.vidaahub.com. 	300 	CNAME 	google.com
evt-ee.vidaahub.com. 	300 	CNAME 	google.com
evt-eu.vidaahub.com. 	300 	CNAME 	google.com
evt-la.vidaahub.com. 	300 	CNAME 	google.com
evt-me.vidaahub.com. 	300 	CNAME 	google.com
evt-na.vidaahub.com. 	300 	CNAME 	google.com
evt-oc.vidaahub.com. 	300 	CNAME 	google.com
evt-sa.vidaahub.com. 	300 	CNAME 	google.com
evt.vidaahub.com. 	300 	CNAME 	google.com
exc-jrnl-af.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-as.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-ea.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-ee.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-eu.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-jp.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-la.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-me.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-na.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-oc.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
exc-jrnl-ru.vidaahub.com. 	300 	A 	84.201.153.45
exc-jrnl-sa.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
